Logging
ITERATION 461.0000 | TOTAL G LOSS 0.5812
ITERATION 462.0000 | TOTAL G LOSS 0.7942
ITERATION 463.0000 | TOTAL G LOSS 0.6479
ITERATION 464.0000 | TOTAL G LOSS 0.0413
ITERATION 465.0000 | TOTAL G LOSS 0.3026
ITERATION 466.0000 | TOTAL G LOSS 1.6771
ITERATION 467.0000 | TOTAL G LOSS -0.5166
ITERATION 468.0000 | TOTAL G LOSS -0.0789
ITERATION 469.0000 | TOTAL G LOSS 0.2542
ITERATION 470.0000 | TOTAL G LOSS -0.5342
ITERATION 471.0000 | TOTAL G LOSS -2.0362
ITERATION 472.0000 | TOTAL G LOSS 0.2446
ITERATION 473.0000 | TOTAL G LOSS -0.7878
ITERATION 474.0000 | TOTAL G LOSS 0.0678
ITERATION 475.0000 | TOTAL G LOSS 0.7834
ITERATION 476.0000 | TOTAL G LOSS -0.6395
ITERATION 477.0000 | TOTAL G LOSS 1.8745
ITERATION 478.0000 | TOTAL G LOSS 0.3044
ITERATION 479.0000 | TOTAL G LOSS -0.1520
ITERATION 480.0000 | TOTAL G LOSS -0.2980
ITERATION 481.0000 | TOTAL G LOSS -0.0587
ITERATION 482.0000 | TOTAL G LOSS 1.6525
ITERATION 483.0000 | TOTAL G LOSS -0.5405
ITERATION 484.0000 | TOTAL G LOSS 0.6603
ITERATION 485.0000 | TOTAL G LOSS -0.8831
ITERATION 486.0000 | TOTAL G LOSS 1.4016
ITERATION 487.0000 | TOTAL G LOSS -1.3913
ITERATION 488.0000 | TOTAL G LOSS -1.8836
ITERATION 489.0000 | TOTAL G LOSS 1.1752
ITERATION 490.0000 | TOTAL G LOSS -0.5034
ITERATION 491.0000 | TOTAL G LOSS 0.0822
ITERATION 492.0000 | TOTAL G LOSS 0.6813
ITERATION 493.0000 | TOTAL G LOSS -0.8572
ITERATION 494.0000 | TOTAL G LOSS 0.4734
ITERATION 495.0000 | TOTAL G LOSS -0.1274
