Logging
iteration 9850 | D LOSS = 1.3614 | G LOSS = 0.0276 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 9900 | D LOSS = 1.3625 | G LOSS = 0.0291 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 9950 | D LOSS = 1.3620 | G LOSS = 0.0250 | AVG R =0.4879 | mean_pen: 0.0002 |  
iteration 10000 | D LOSS = 1.3614 | G LOSS = 0.0256 | AVG R =0.4872 | mean_pen: 0.0002 |  
iteration 10050 | D LOSS = 1.3607 | G LOSS = 0.0291 | AVG R =0.4877 | mean_pen: 0.0002 |  
iteration 10100 | D LOSS = 1.3628 | G LOSS = 0.0251 | AVG R =0.4882 | mean_pen: 0.0002 |  
iteration 10150 | D LOSS = 1.3631 | G LOSS = 0.0255 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 10200 | D LOSS = 1.3616 | G LOSS = 0.0256 | AVG R =0.4874 | mean_pen: 0.0002 |  
iteration 10250 | D LOSS = 1.3627 | G LOSS = 0.0253 | AVG R =0.4884 | mean_pen: 0.0002 |  
iteration 10300 | D LOSS = 1.3624 | G LOSS = 0.0252 | AVG R =0.4885 | mean_pen: 0.0002 |  
iteration 10350 | D LOSS = 1.3634 | G LOSS = 0.0228 | AVG R =0.4881 | mean_pen: 0.0002 |  
iteration 10400 | D LOSS = 1.3627 | G LOSS = 0.0257 | AVG R =0.4887 | mean_pen: 0.0002 |  
iteration 10450 | D LOSS = 1.3618 | G LOSS = 0.0260 | AVG R =0.4880 | mean_pen: 0.0002 |  
iteration 10500 | D LOSS = 1.3629 | G LOSS = 0.0260 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 10550 | D LOSS = 1.3631 | G LOSS = 0.0270 | AVG R =0.4876 | mean_pen: 0.0002 |  
iteration 10600 | D LOSS = 1.3627 | G LOSS = 0.0296 | AVG R =0.4881 | mean_pen: 0.0002 |  
iteration 10650 | D LOSS = 1.3618 | G LOSS = 0.0359 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 10700 | D LOSS = 1.3635 | G LOSS = 0.0319 | AVG R =0.4881 | mean_pen: 0.0002 |  
iteration 10750 | D LOSS = 1.3632 | G LOSS = 0.0332 | AVG R =0.4885 | mean_pen: 0.0002 |  
iteration 10800 | D LOSS = 1.3638 | G LOSS = 0.0245 | AVG R =0.4891 | mean_pen: 0.0002 |  
iteration 10850 | D LOSS = 1.3637 | G LOSS = 0.0314 | AVG R =0.4888 | mean_pen: 0.0002 |  
iteration 10900 | D LOSS = 1.3632 | G LOSS = 0.0402 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 10950 | D LOSS = 1.3646 | G LOSS = 0.0351 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 11000 | D LOSS = 1.3637 | G LOSS = 0.0475 | AVG R =0.4882 | mean_pen: 0.0002 |  
iteration 11050 | D LOSS = 1.3652 | G LOSS = 0.0437 | AVG R =0.4887 | mean_pen: 0.0001 |  
iteration 11100 | D LOSS = 1.3640 | G LOSS = 0.0405 | AVG R =0.4885 | mean_pen: 0.0002 |  
iteration 11150 | D LOSS = 1.3642 | G LOSS = 0.0335 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 11200 | D LOSS = 1.3650 | G LOSS = 0.0441 | AVG R =0.4887 | mean_pen: 0.0002 |  
iteration 11250 | D LOSS = 1.3635 | G LOSS = 0.0396 | AVG R =0.4891 | mean_pen: 0.0002 |  
iteration 11300 | D LOSS = 1.3648 | G LOSS = 0.0337 | AVG R =0.4890 | mean_pen: 0.0002 |  
iteration 11350 | D LOSS = 1.3639 | G LOSS = 0.0282 | AVG R =0.4884 | mean_pen: 0.0002 |  
iteration 11400 | D LOSS = 1.3634 | G LOSS = 0.0398 | AVG R =0.4886 | mean_pen: 0.0001 |  
iteration 11450 | D LOSS = 1.3657 | G LOSS = 0.0349 | AVG R =0.4882 | mean_pen: 0.0002 |  
iteration 11500 | D LOSS = 1.3639 | G LOSS = 0.0278 | AVG R =0.4888 | mean_pen: 0.0002 |  
iteration 11550 | D LOSS = 1.3642 | G LOSS = 0.0440 | AVG R =0.4891 | mean_pen: 0.0002 |  
iteration 11600 | D LOSS = 1.3659 | G LOSS = 0.0454 | AVG R =0.4897 | mean_pen: 0.0002 |  
