Logging
iteration 10750 | D LOSS = 1.3814 | G LOSS = 0.7029 | mean_pen: 0.0001 |  
iteration 10800 | D LOSS = 1.3792 | G LOSS = 0.7008 | mean_pen: 0.0001 |  
iteration 10850 | D LOSS = 1.3781 | G LOSS = 0.7020 | mean_pen: 0.0001 |  
iteration 10900 | D LOSS = 1.3801 | G LOSS = 0.7011 | mean_pen: 0.0001 |  
iteration 10950 | D LOSS = 1.3783 | G LOSS = 0.6990 | mean_pen: 0.0001 |  
iteration 11000 | D LOSS = 1.3787 | G LOSS = 0.6999 | mean_pen: 0.0001 |  
iteration 11050 | D LOSS = 1.3787 | G LOSS = 0.6994 | mean_pen: 0.0001 |  
iteration 11100 | D LOSS = 1.3787 | G LOSS = 0.6959 | mean_pen: 0.0001 |  
iteration 11150 | D LOSS = 1.3801 | G LOSS = 0.6960 | mean_pen: 0.0001 |  
iteration 11200 | D LOSS = 1.3795 | G LOSS = 0.7003 | mean_pen: 0.0001 |  
iteration 11250 | D LOSS = 1.3782 | G LOSS = 0.6987 | mean_pen: 0.0001 |  
iteration 11300 | D LOSS = 1.3815 | G LOSS = 0.6987 | mean_pen: 0.0001 |  
iteration 11350 | D LOSS = 1.3804 | G LOSS = 0.7014 | mean_pen: 0.0001 |  
iteration 11400 | D LOSS = 1.3802 | G LOSS = 0.6981 | mean_pen: 0.0001 |  
iteration 11450 | D LOSS = 1.3817 | G LOSS = 0.6979 | mean_pen: 0.0001 |  
iteration 11500 | D LOSS = 1.3801 | G LOSS = 0.7023 | mean_pen: 0.0001 |  
iteration 11550 | D LOSS = 1.3790 | G LOSS = 0.7028 | mean_pen: 0.0001 |  
iteration 11600 | D LOSS = 1.3787 | G LOSS = 0.7017 | mean_pen: 0.0001 |  
iteration 11650 | D LOSS = 1.3806 | G LOSS = 0.7010 | mean_pen: 0.0001 |  
iteration 11700 | D LOSS = 1.3793 | G LOSS = 0.6988 | mean_pen: 0.0001 |  
iteration 11750 | D LOSS = 1.3792 | G LOSS = 0.7009 | mean_pen: 0.0001 |  
iteration 11800 | D LOSS = 1.3796 | G LOSS = 0.7005 | mean_pen: 0.0001 |  
iteration 11850 | D LOSS = 1.3793 | G LOSS = 0.7014 | mean_pen: 0.0001 |  
iteration 11900 | D LOSS = 1.3786 | G LOSS = 0.6997 | mean_pen: 0.0001 |  
iteration 11950 | D LOSS = 1.3803 | G LOSS = 0.7009 | mean_pen: 0.0001 |  
iteration 12000 | D LOSS = 1.3802 | G LOSS = 0.7000 | mean_pen: 0.0001 |  
